"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier","points_tries","points_convs","points_pens","points_drops"
"277",0,"SA",2,"Australia",4,"M Steyn",18,"FH","won",0,"1","1",0,0,12,6
"278",2,"Port",0,"Switzerland",3,"NMRPS Guedes",18,"FB","won",1,"2","3",5,4,9,0
"279",5,"Fiji",0,"Japan",1,"RNDSN Nadolo",18,"W","won",1,"2","2",5,10,3,0
"280",3,"Wales",0,"Italy",4,"SL Halfpenny",18,"FB","won",0,"1","1",0,6,12,0
"281",9,"Ire",0,"Italy",0,"DPLJ Jackson",18,"FH","won",0,"1","1",0,18,0,0
"282",2,"Can",1,"Brazil",2,"GA McRorie",18,"SH","lost",1,"2","3",5,4,6,3
"283",4,"Port",0,"Moldova",0,"NM Penha e Costa",18,"FH","won",2,"2","3",10,8,0,0
"284",0,"Wales",0,"France",6,"SL Halfpenny",18,"FB","lost",0,"1","1",0,0,18,0
"285",3,"JPN",0,"Romania",4,"J Ogura",18,"FH","won",0,"2","2",0,6,12,0
"286",9,"Aust",0,"Japan",0,"R Hodge",18,"FH","won",0,"1","2",0,18,0,0
"287",4,"SA",0,"Wales",3,"AD James",17,"FH","won",0,"1","1",0,8,9,0
"288",1,"Aust",0,"Italy",5,"MJ Giteau",17,"FH","won",0,"1","1",0,2,15,0
"289",6,"Arg",0,"Chile",0,"BM Urdapilleta",17,"FH","won",1,"1","3",5,12,0,0
"290",1,"Arg",0,"Italy",5,"F Contepomi",17,"C","won",0,"1","1",0,2,15,0
"292",1,"Spain",1,"Germany",4,"C Riu",17,"FH","won",0,"2","2",0,2,12,3
"293",1,"NZ",0,"England",5,"DW Carter",17,"FH","won",0,"1","1",0,2,15,0
"294",1,"Fra",0,"Scotland",5,"L Beauxis",17,"FH","won",0,"1","1",0,2,15,0
"295",1,"Ire",1,"Scotland",4,"RJR O'Gara",17,"FH","won",0,"1","1",0,2,12,3
"296",1,"Port",0,"Romania",5,"PPDC Cabral",17,"FH","won",0,"2","2",0,2,15,0
"297",4,"Can",0,"Georgia",3,"J Pritchard",17,"FB","won",0,"2","2",0,8,9,0
"298",1,"Eng",0,"Argentina",5,"AJ Goode",17,"FH","lost",0,"1","1",0,2,15,0
"299",2,"Russ",0,"Uruguay",1,"A Yanyushkin",17,"FH","won",2,"2","2",10,4,3,0
"300",1,"NZ",0,"Australia",5,"SR Donald",17,"FH","won",0,"1","1",0,2,15,0
"301",3,"Wales",0,"Argentina",2,"SM Jones",17,"FH","won",1,"1","1",5,6,6,0
"302",1,"Namib",0,"Tunisia",5,"E Wessels",17,"FH","won",0,"2","3",0,2,15,0
"303",1,"Rom",1,"Georgia",4,"DM Dumbrava",17,"FH","won",0,"2","2",0,2,12,3
"305",7,"NZ",0,"Ireland",1,"DW Carter",17,"FH","won",0,"1","1",0,14,3,0
"307",1,"NZ",0,"Wales",5,"DW Carter",17,"FH","won",0,"1","1",0,2,15,0
"308",1,"SA",0,"New Zealand",5,"M Steyn",17,"FH","lost",0,"1","1",0,2,15,0
"309",1,"Arg",0,"Italy",5,"F Contepomi",17,"FH","won",0,"1","1",0,2,15,0
"310",1,"Ire",0,"Argentina",5,"JJ Sexton",17,"FH","won",0,"1","1",0,2,15,0
"311",1,"Italy",0,"France",5,"M Bergamasco",17,"W","won",0,"1","1",0,2,15,0
"312",1,"JPN",0,"UAE",0,"RT Nicholas",17,"C","won",3,"2","3",15,2,0,0
"313",6,"Arg",0,"Chile",0,"S Gonzalez Iglesias",17,"FH","won",1,"1","3",5,12,0,0
"314",3,"Tonga",0,"Japan",2,"KS Morath",17,"FH","lost",1,"2","2",5,6,6,0
"315",1,"Tonga",0,"Fiji",5,"KS Morath",17,"FH","won",0,"2","2",0,2,15,0
"316",4,"Fra",0,"Japan",3,"D Yachvili",17,"SH","won",0,"1","2",0,8,9,0
"317",1,"Georg",0,"Romania",5,"M Kvirikashvili",17,"FH","won",0,"2","2",0,2,15,0
"318",4,"Ire",0,"Italy",3,"JJ Sexton",17,"FH","won",0,"1","1",0,8,9,0
"319",6,"JPN",0,"Hong Kong",0,"A Goromaru",17,"FB","won",1,"2","3",5,12,0,0
"320",4,"Spain",0,"Russia",3,"M Peluchon Carrero",17,"FB","lost",0,"2","2",0,8,9,0
"321",4,"NZ",0,"Ireland",3,"DW Carter",17,"FH","won",0,"1","1",0,8,9,0
"322",0,"SA",0,"England",4,"M Steyn",17,"FH","won",1,"1","1",5,0,12,0
"323",1,"NZ",1,"Ireland",4,"DW Carter",17,"FH","won",0,"1","1",0,2,12,3
"324",1,"Aust",0,"Wales",5,"BS Barnes",17,"FH","won",0,"1","1",0,2,15,0
"325",3,"Eng",0,"South Africa",2,"TGAL Flood",17,"FH","lost",1,"1","1",5,6,6,0
"326",1,"NZ",0,"Australia",5,"DW Carter",17,"FH","won",0,"1","1",0,2,15,0
"327",1,"NZ",0,"Australia",5,"DW Carter",17,"FH","won",0,"1","1",0,2,15,0
"328",4,"Samoa",0,"Canada",3,"JS So'oialo",17,"FB","won",0,"2","2",0,8,9,0
"329",1,"Namib",1,"Zimbabwe",4,"TAW Kotze",17,"FH","won",0,"2","3",0,2,12,3
"330",4,"Eng",0,"Fiji",3,"TGAL Flood",17,"FH","won",0,"1","2",0,8,9,0
"331",1,"JPN",0,"Georgia",5,"A Goromaru",17,"FB","won",0,"2","2",0,2,15,0
"332",4,"NZ",0,"Italy",3,"AW Cruden",17,"FH","won",0,"1","1",0,8,9,0
"333",1,"Arg",1,"France",4,"FN Sanchez",17,"FH","lost",0,"1","1",0,2,12,3
"334",1,"Eng",1,"New Zealand",4,"OA Farrell",17,"FH","won",0,"1","1",0,2,12,3
"335",4,"Georg",0,"Spain",3,"M Kvirikashvili",17,"FH","won",0,"2","2",0,8,9,0
"336",3,"Samoa",0,"Scotland",2,"JS So'oialo",17,"FB","won",1,"2","1",5,6,6,0
"337",4,"SA",0,"Italy",3,"M Steyn",17,"FH","won",0,"1","1",0,8,9,0
"338",3,"Samoa",0,"Italy",2,"PB Williams",17,"C","won",1,"2","1",5,6,6,0
"339",3,"SA",0,"Samoa",2,"M Steyn",17,"FH","won",1,"1","2",5,6,6,0
"340",1,"SA",0,"Argentina",5,"M Steyn",17,"FH","won",0,"1","1",0,2,15,0
"341",1,"Eng",0,"New Zealand",5,"OA Farrell",17,"FH","lost",0,"1","1",0,2,15,0
"342",3,"Aust",0,"Ireland",2,"QS Cooper",17,"FH","won",1,"1","1",5,6,6,0
"343",1,"Wales",0,"France",5,"SL Halfpenny",17,"FB","won",0,"1","1",0,2,15,0
"344",2,"Ire",0,"Italy",1,"JJ Sexton",17,"FH","won",2,"1","1",10,4,3,0
"345",2,"Ire",0,"France",1,"JJ Sexton",17,"FH","won",2,"1","1",10,4,3,0
"346",1,"Urug",0,"USA",5,"F Berchesi Pisano",17,"FH","draw",0,"2","2",0,2,15,0
"347",7,"JPN",0,"Korea",1,"A Goromaru",17,"FB","won",0,"2","3",0,14,3,0
"348",4,"JPN",0,"USA",3,"A Goromaru",17,"FB","won",0,"2","2",0,8,9,0
"349",1,"Aust",0,"Argentina",5,"BT Foley",17,"FH","won",0,"1","1",0,2,15,0
"350",1,"Russ",0,"Uruguay",5,"Y Kushnarev",17,"FH","won",0,"2","2",0,2,15,0
"351",1,"Russ",0,"Uruguay",5,"Y Kushnarev",17,"FH","lost",0,"2","2",0,2,15,0
"352",4,"Rom",0,"Portugal",3,"VN Calafeteanu",17,"SH","won",0,"2","2",0,8,9,0
"353",3,"Fiji",0,"Japan",2,"JL Matavesi",17,"FH","won",1,"2","2",5,6,6,0
"354",1,"Fra",0,"England",5,"F Michalak",17,"FH","won",0,"1","1",0,2,15,0
"355",6,"Aust",0,"USA",0,"BT Foley",17,"FH","won",1,"1","2",5,12,0,0
"356",6,"Fiji",0,"Uruguay",0,"RNDSN Nadolo",17,"W","won",1,"2","2",5,12,0,0
"357",3,"Italy",0,"Romania",2,"T Allan",17,"FH","won",1,"1","2",5,6,6,0
"358",7,"NZ",0,"France",1,"DW Carter",17,"FH","won",0,"1","1",0,14,3,0
"359",3,"Eng",0,"Italy",2,"OA Farrell",17,"C","won",1,"1","1",5,6,6,0
"360",3,"NZ",0,"Australia",2,"BJ Barrett",17,"FH","won",1,"1","1",5,6,6,0
"361",6,"NZ",0,"Argentina",0,"BJ Barrett",17,"FH","won",1,"1","1",5,12,0,0
"362",1,"Arg",0,"New Zealand",5,"FN Sanchez",17,"FH","lost",0,"1","1",0,2,15,0
"363",1,"Eng",0,"Argentina",5,"OA Farrell",17,"C","won",0,"1","1",0,2,15,0
"364",1,"Wales",0,"South Africa",5,"SL Halfpenny",17,"FB","won",0,"1","1",0,2,15,0
"365",1,"Fra",0,"Scotland",5,"C Lopez",17,"FH","won",0,"1","1",0,2,15,0
"366",7,"USA",0,"Chile",1,"B Cima",17,"FH","won",0,"2","3",0,14,3,0
"367",3,"Spain",0,"Germany",2,"BD Linklater",17,"FB","won",1,"2","2",5,6,6,0
"368",7,"Braz",0,"Paraguay",1,"MR Duque",17,"C","won",0,"3","3",0,14,3,0
"369",3,"Urug",0,"Chile",2,"F Berchesi Pisano",17,"FH","won",1,"2","3",5,6,6,0
"370",1,"Fiji",0,"Scotland",5,"BTT Volavola",17,"FH","won",0,"2","1",0,2,15,0
"371",4,"SA",0,"Argentina",3,"ET Jantjies",17,"FH","won",0,"1","1",0,8,9,0
"372",7,"NZ",0,"South Africa",1,"BJ Barrett",17,"FH","won",0,"1","1",0,14,3,0
"373",3,"Aust",0,"Argentina",2,"BT Foley",17,"FH","won",1,"1","1",5,6,6,0
"374",2,"Wales",0,"England",4,"JW Hook",16,"FH","won",0,"1","1",0,4,12,0
"375",2,"Port",0,"Russia",4,"PPDC Cabral",16,"FH","lost",0,"2","2",0,4,12,0
"376",2,"Russ",0,"Spain",4,"Y Kushnarev",16,"FH","won",0,"2","2",0,4,12,0
"377",8,"JPN",0,"Arabian Gulf",0,"JA Arlidge",16,"FH","won",0,"2","3",0,16,0,0
"378",2,"Scot",0,"Argentina",4,"CD Paterson",16,"W","won",0,"1","1",0,4,12,0
"379",1,"Can",0,"Portugal",3,"J Pritchard",16,"FB","won",1,"2","2",5,2,9,0
"380",2,"JPN",0,"USA",4,"RT Nicholas",16,"C","won",0,"2","2",0,4,12,0
"381",4,"Eng",0,"Italy",1,"AJ Goode",16,"FH","won",1,"1","1",5,8,3,0
"382",3,"JPN",0,"Korea",0,"SJ Webb",16,"FH","won",2,"2","3",10,6,0,0
"383",2,"USA",0,"Georgia",4,"MMM Hercus",16,"FH","won",0,"2","2",0,4,12,0
"384",4,"Can",0,"USA",1,"J Pritchard",16,"FB","won",1,"2","2",5,8,3,0
"385",1,"Arg",0,"Wales",3,"M Rodriguez Gurruchage",16,"C","lost",1,"1","1",5,2,9,0
"386",5,"Ire",0,"Fiji",2,"JJ Sexton",16,"FH","won",0,"1","2",0,10,6,0
"387",2,"Ire",0,"Italy",4,"RJR O'Gara",16,"FH","won",0,"1","1",0,4,12,0
"388",2,"Wales",0,"Scotland",4,"SM Jones",16,"FH","won",0,"1","1",0,4,12,0
"389",5,"Port",0,"Germany",2,"PPDC Cabral",16,"FH","won",0,"2","2",0,10,6,0
"390",5,"Fra",0,"Italy",2,"MRJ Parra",16,"SH","won",0,"1","1",0,10,6,0
"391",2,"Urug",0,"Chile",4,"E Caffera",16,"FH","won",0,"2","3",0,4,12,0
"392",2,"SA",0,"Wales",4,"R Pienaar",16,"FH","won",0,"1","1",0,4,12,0
"393",2,"JPN",1,"Samoa",3,"JA Arlidge",16,"FH","won",0,"2","2",0,4,9,3
"394",5,"Fiji",0,"Tonga",2,"RT Rawaqa Maravunawasawasa",16,"FB","won",0,"2","2",0,10,6,0
"395",2,"JPN",0,"Tonga",4,"JA Arlidge",16,"FH","won",0,"2","2",0,4,12,0
"396",2,"NZ",0,"England",4,"DW Carter",16,"FH","won",0,"1","1",0,4,12,0
"397",2,"Eng",0,"Samoa",4,"TGAL Flood",16,"FH","won",0,"1","2",0,4,12,0
"398",4,"Georg",0,"Spain",1,"M Kvirikashvili",16,"FH","won",1,"2","2",5,8,3,0
"399",1,"Fra",0,"Italy",3,"MRJ Parra",16,"SH","lost",1,"1","1",5,2,9,0
"400",2,"Tonga",0,"Japan",4,"KS Morath",16,"FH","won",0,"2","2",0,4,12,0
"401",2,"Ire",0,"Italy",4,"RJR O'Gara",16,"FH","won",0,"1","1",0,4,12,0
"402",5,"Spain",0,"Ukraine",2,"M Peluchon Carrero",16,"FB","won",0,"2","3",0,10,6,0
"403",5,"Georg",0,"Russia",2,"M Kvirikashvili",16,"FH","won",0,"2","2",0,10,6,0
"404",2,"Port",0,"Ukraine",4,"Y Ricardo",16,"FH","lost",0,"2","3",0,4,12,0
"405",2,"SA",1,"England",3,"M Steyn",16,"FH","won",0,"1","1",0,4,9,3
"406",2,"USA",0,"Georgia",4,"CT Wyles",16,"FB","won",0,"2","2",0,4,12,0
"407",1,"Samoa",1,"Scotland",2,"T Pisi",16,"FH","lost",1,"2","1",5,2,6,3
"408",2,"Aust",0,"South Africa",4,"BS Barnes",16,"C","won",0,"1","1",0,4,12,0
"409",2,"Wales",0,"Italy",4,"SL Halfpenny",16,"FB","won",0,"1","1",0,4,12,0
"410",2,"Arg",0,"England",4,"MJ Bustos Moyano",16,"FB","lost",0,"1","1",0,4,12,0
"412",1,"JPN",0,"Canada",3,"A Goromaru",16,"FB","won",1,"2","2",5,2,9,0
"413",2,"Fra",0,"Tonga",4,"MRJ Parra",16,"SH","won",0,"1","2",0,4,12,0
"414",8,"Germ",0,"Czech Rep",0,"R Parkinson",16,"FH","won",0,"2","3",0,16,0,0
"415",2,"JPN",0,"Italy",4,"A Goromaru",16,"FB","won",0,"2","1",0,4,12,0
"416",2,"Russ",0,"Hong Kong",4,"Y Kushnarev",16,"FH","won",0,"2","3",0,4,12,0
"417",2,"Ire",0,"South Africa",4,"JJ Sexton",16,"FH","won",0,"1","1",0,4,12,0
"418",2,"SA",1,"England",3,"PJ Lambie",16,"FH","won",0,"1","1",0,4,9,3
"419",2,"Aust",0,"France",4,"BT Foley",16,"FH","lost",0,"1","1",0,4,12,0
"420",2,"Fra",0,"Australia",4,"C Lopez",16,"FH","won",0,"1","1",0,4,12,0
"421",2,"Ire",0,"Australia",4,"JJ Sexton",16,"FH","won",0,"1","1",0,4,12,0
"422",2,"Eng",0,"Australia",4,"GT Ford",16,"FH","won",0,"1","1",0,4,12,0
"423",2,"Wales",0,"Scotland",4,"SL Halfpenny",16,"FB","won",0,"1","1",0,4,12,0
"424",2,"Georg",0,"Spain",4,"M Kvirikashvili",16,"FB","won",0,"2","2",0,4,12,0
"425",3,"Kenya",0,"Spain",0,"D Mukidza Kinyangi",16,"W","won",2,"3","2",10,6,0,0
"426",2,"Tonga",0,"Japan",4,"KS Morath",16,"FH","won",0,"2","2",0,4,12,0
"427",5,"Namib",0,"Kenya",2,"TAW Kotze",16,"FH","won",0,"2","3",0,10,6,0
"428",5,"NZ",0,"Australia",2,"DW Carter",16,"FH","won",0,"1","1",0,10,6,0
"429",2,"SA",1,"Argentina",3,"PJ Lambie",16,"FH","won",0,"1","1",0,4,9,3
"430",5,"USA",0,"Canada",2,"AL MacGinty",16,"FH","won",0,"2","2",0,10,6,0
"431",2,"Scot",0,"Italy",4,"GD Laidlaw",16,"SH","won",0,"1","1",0,4,12,0
"432",2,"NZ",0,"Argentina",4,"DW Carter",16,"FH","won",0,"1","1",0,4,12,0
"433",4,"NZ",0,"Namibia",1,"BJ Barrett",16,"FH","won",1,"1","2",5,8,3,0
"434",2,"JPN",0,"Samoa",4,"A Goromaru",16,"FB","won",0,"2","2",0,4,12,0
"435",1,"Namib",0,"Georgia",3,"TAW Kotze",16,"FH","lost",1,"2","2",5,2,9,0
"436",1,"Samoa",0,"Scotland",3,"T Pisi",16,"FH","lost",1,"2","1",5,2,9,0
"437",2,"Russ",1,"Hong Kong",3,"SV Yanyushkin",16,"FH","won",0,"2","3",0,4,9,3
"438",5,"Russ",0,"Portugal",2,"Y Kushnarev",16,"FH","won",0,"2","2",0,10,6,0
"439",2,"Eng",0,"France",4,"OA Farrell",16,"C","won",0,"1","1",0,4,12,0
"440",3,"JPN",0,"Korea",0,"R Yamanaka",16,"FB","won",2,"2","3",10,6,0,0
"441",2,"Ire",1,"South Africa",3,"DPLJ Jackson",16,"FH","won",0,"1","1",0,4,9,3
"442",2,"JPN",0,"Canada",4,"Y Tamura",16,"FH","won",0,"2","2",0,4,12,0
"444",2,"Fiji",0,"Samoa",4,"S Baikeinuku",16,"FH","won",0,"2","2",0,4,12,0
"445",2,"Scot",0,"Japan",4,"GD Laidlaw",16,"SH","won",0,"1","2",0,4,12,0
"446",2,"Ire",0,"South Africa",4,"DPLJ Jackson",16,"FH","lost",0,"1","1",0,4,12,0
"447",8,"Namib",0,"Kenya",0,"TAW Kotze",16,"FH","won",0,"2","3",0,16,0,0
"448",3,"NZ",0,"South Africa",0,"BJ Barrett",16,"FH","won",2,"1","1",10,6,0,0
"449",1,"Rom",0,"Canada",3,"FA Vlaicu",16,"FH","won",1,"2","2",5,2,9,0
"450",1,"Port",0,"Brazil",3,"JG Lima",16,"FB","won",1,"2","3",5,2,9,0
"451",5,"Germ",1,"Romania",1,"R Parkinson",16,"FH","won",0,"2","2",0,10,3,3
"452",8,"Chile",0,"Paraguay",0,"FJ Gonzalez Moller",16,"FH","won",0,"3","3",0,16,0,0
"453",2,"Samoa",0,"Tonga",4,"T Pisi",16,"FH","lost",0,"2","2",0,4,12,0
"454",5,"Kenya",0,"Zimbabwe",2,"D Mukidza Kinyangi",16,"W","won",0,"3","3",0,10,6,0
"455",1,"Arg",1,"New Zealand",2,"FN Sanchez",16,"FH","lost",1,"1","1",5,2,6,3
"456",0,"Scot",0,"Wales",5,"CD Paterson",15,"W","lost",0,"1","1",0,0,15,0
"457",0,"Fra",0,"Ireland",0,"V Clerc",15,"W","won",3,"1","1",15,0,0,0
"458",0,"Port",0,"Romania",5,"PPDC Cabral",15,"FH","lost",0,"2","2",0,0,15,0
"459",0,"Rom",0,"Czech Rep",0,"SE Ciuntu",15,"W","won",3,"2","3",15,0,0,0
"460",0,"Georg",0,"Spain",0,"M Gorgodze",15,"L","won",3,"2","2",15,0,0,0
"461",0,"JPN",0,"Arabian Gulf",0,"H Onozawa",15,"W","won",3,"2","3",15,0,0,0
"462",0,"HK",0,"Japan",0,"R Varty",15,"FB","lost",3,"3","2",15,0,0,0
"463",0,"Scot",0,"Argentina",5,"CD Paterson",15,"FB","lost",0,"1","1",0,0,15,0
"464",0,"JPN",0,"Tonga",5,"JA Arlidge",15,"FH","won",0,"2","2",0,0,15,0
"465",0,"NZ",0,"Samoa",0,"JM Muliaina",15,"FB","won",3,"1","2",15,0,0,0
"466",3,"Russ",0,"Spain",3,"Y Kushnarev",15,"FH","won",0,"2","2",0,6,9,0
"467",0,"Urug",0,"Chile",0,"N Brignoni",15,"N8","won",3,"2","3",15,0,0,0
"468",3,"Ire",0,"France",3,"RJR O'Gara",15,"FH","won",0,"1","1",0,6,9,0
"469",0,"Wales",0,"England",5,"SM Jones",15,"FH","won",0,"1","1",0,0,15,0
"470",0,"Italy",0,"Wales",5,"A Marcato",15,"FB","lost",0,"1","1",0,0,15,0
"471",0,"Scot",0,"Ireland",5,"CD Paterson",15,"FB","lost",0,"1","1",0,0,15,0
"472",3,"Fra",0,"Italy",3,"MRJ Parra",15,"SH","won",0,"1","1",0,6,9,0
"473",0,"Wales",1,"Ireland",4,"SM Jones",15,"FH","lost",0,"1","1",0,0,12,3
"474",0,"Urug",0,"Paraguay",0,"F de Posadas",15,"FB","won",3,"2","3",15,0,0,0
"475",5,"Urug",0,"Paraguay",0,"JJ Etcheverry Cavanna",15,"FH","won",1,"2","3",5,10,0,0
"476",0,"Urug",0,"Brazil",0,"R Capo Ortega",15,"N8","won",3,"2","3",15,0,0,0
"477",2,"Russ",0,"Germany",2,"Y Kushnarev",15,"FH","won",1,"2","2",5,4,6,0
"478",6,"Arg",0,"Chile",1,"S Gonzalez Iglesias",15,"FH","won",0,"1","3",0,12,3,0
"479",0,"Sing",0,"Japan",5,"R Cumbers",15,"FH","lost",0,"3","2",0,0,15,0
"480",0,"Arg",1,"England",4,"JM Hernandez",15,"FH","lost",0,"1","1",0,0,12,3
"481",0,"Aust",0,"Italy",0,"JD O'Connor",15,"FB","won",3,"1","1",15,0,0,0
"482",0,"Samoa",0,"PNG",0,"MS Pesamino",15,"W","won",3,"2","3",15,0,0,0
"483",0,"NZ",0,"Italy",5,"CL McAlister",15,"C","won",0,"1","1",0,0,15,0
"484",0,"Ire",0,"South Africa",5,"JJ Sexton",15,"FH","won",0,"1","1",0,0,15,0
"485",3,"Eng",0,"Wales",3,"JP Wilkinson",15,"FH","won",0,"1","1",0,6,9,0
"486",2,"Spain",0,"Russia",2,"M Gratton Cristol",15,"FH","lost",1,"2","2",5,4,6,0
"487",3,"Fra",1,"Ireland",2,"MRJ Parra",15,"SH","won",0,"1","1",0,6,6,3
"488",0,"Port",0,"Germany",0,"GFG Foro",15,"W","won",3,"2","2",15,0,0,0
"489",3,"Port",0,"Spain",3,"PPDC Cabral",15,"FH","won",0,"2","2",0,6,9,0
"490",0,"Scot",1,"England",4,"DA Parks",15,"FH","draw",0,"1","1",0,0,12,3
"491",0,"Urug",0,"Chile",0,"LL Leivas Ballestrino",15,"W","won",3,"2","3",15,0,0,0
"492",5,"JPN",0,"Hong Kong",0,"JA Arlidge",15,"FH","won",1,"2","3",5,10,0,0
"493",0,"JPN",0,"Hong Kong",0,"A Tupuailei",15,"W","won",3,"2","3",15,0,0,0
"494",0,"Rom",0,"Ukraine",0,"SE Ciuntu",15,"W","won",3,"2","3",15,0,0,0
"495",3,"SA",0,"France",3,"M Steyn",15,"FH","won",0,"1","1",0,6,9,0
"496",0,"Ire",0,"Australia",5,"JJ Sexton",15,"FH","lost",0,"1","1",0,0,15,0
"497",0,"Urug",0,"Kazakhstan",0,"LL Leivas Ballestrino",15,"W","won",3,"2","3",15,0,0,0
"498",0,"Aust",0,"South Africa",5,"MJ Giteau",15,"C","won",0,"1","1",0,0,15,0
"499",0,"Chile",0,"Tonga",5,"J Reyes",15,"FH","lost",0,"3","2",0,0,15,0
"500",0,"JPN",0,"Russia",0,"A Tupuailei",15,"W","won",3,"2","2",15,0,0,0
"501",2,"Ire",0,"Samoa",2,"RJR O'Gara",15,"FH","won",1,"1","2",5,4,6,0
"502",5,"NZ",0,"Scotland",0,"DW Carter",15,"FH","won",1,"1","1",5,10,0,0
"503",0,"Aust",0,"France",0,"DA Mitchell",15,"W","won",3,"1","1",15,0,0,0
"504",0,"Fra",0,"Ireland",5,"MRJ Parra",15,"SH","won",0,"1","1",0,0,15,0
"505",0,"JPN",0,"Hong Kong",0,"A Tupuailei",15,"W","won",3,"2","3",15,0,0,0
"506",5,"Urug",0,"Paraguay",0,"A Lewis",15,"C","won",1,"2","3",5,10,0,0
"507",0,"Arg",0,"Uruguay",0,"FD Luna",15,"W","won",3,"1","2",15,0,0,0
"509",3,"NZ",1,"Australia",2,"DW Carter",15,"FH","won",0,"1","1",0,6,6,3
"510",0,"Namib",3,"Fiji",2,"TAW Kotze",15,"FH","lost",0,"2","2",0,0,6,9
"511",0,"Samoa",0,"Namibia",0,"AT Tuilagi",15,"W","won",3,"2","2",15,0,0,0
"512",0,"Scot",1,"Georgia",4,"DA Parks",15,"FH","won",0,"1","2",0,0,12,3
"513",0,"Fra",0,"Canada",0,"V Clerc",15,"W","won",3,"1","2",15,0,0,0
"514",0,"Aust",0,"USA",0,"AP Ashley-Cooper",15,"W","won",3,"1","2",15,0,0,0
"515",0,"Eng",0,"Romania",0,"CJ Ashton",15,"W","won",3,"1","2",15,0,0,0
"516",0,"Eng",0,"Romania",0,"MJ Cueto",15,"W","won",3,"1","2",15,0,0,0
"517",0,"Samoa",1,"Fiji",4,"T Pisi",15,"FH","won",0,"2","2",0,0,12,3
"518",6,"Ire",0,"Russia",1,"RJR O'Gara",15,"FH","won",0,"1","2",0,12,3,0
"519",6,"Wales",0,"Namibia",1,"SM Jones",15,"FH","won",0,"1","2",0,12,3,0
"520",0,"Wales",0,"Namibia",0,"MS Williams",15,"C","won",3,"1","2",15,0,0,0
"521",0,"Spain",0,"Ukraine",0,"C Sempere Padilla",15,"FH","won",3,"2","3",15,0,0,0
"522",3,"Ukr",0,"Portugal",3,"O Kosariev",15,"C","won",0,"3","2",0,6,9,0
"523",0,"JPN",0,"Kazakhstan",0,"H Onozawa",15,"W","won",3,"2","3",15,0,0,0
"524",0,"JPN",0,"Korea",0,"H Onozawa",15,"W","won",3,"2","3",15,0,0,0
"525",0,"Arg",0,"Brazil",0,"M Montero",15,"W","won",3,"1","3",15,0,0,0
"526",0,"NZ",0,"Ireland",0,"SJ Savea",15,"W","won",3,"1","1",15,0,0,0
"527",2,"JPN",0,"Tonga",2,"A Goromaru",15,"FB","lost",1,"2","2",5,4,6,0
"528",0,"Fra",0,"Argentina",5,"MRJ Parra",15,"SH","lost",0,"1","1",0,0,15,0
"529",2,"Urug",0,"Portugal",2,"AL Ormaechea",15,"SH","won",1,"2","2",5,4,6,0
"530",1,"Fiji",0,"Tonga",1,"M Talebula Maijaina",15,"FB","won",2,"2","2",10,2,3,0
"531",0,"Aust",0,"Wales",5,"BS Barnes",15,"FH","won",0,"1","1",0,0,15,0
"532",2,"Namib",1,"Senegal",1,"TAW Kotze",15,"FH","won",1,"2","3",5,4,3,3
"533",0,"SA",0,"Australia",0,"BG Habana",15,"W","won",3,"1","1",15,0,0,0
"534",0,"NZ",0,"Argentina",0,"CS Jane",15,"W","won",3,"1","1",15,0,0,0
"535",0,"Aust",0,"New Zealand",5,"MJ Harris",15,"FB","draw",0,"1","1",0,0,15,0
"536",5,"USA",0,"Russia",0,"CT Wyles",15,"FB","won",1,"2","2",5,10,0,0
"537",3,"Fra",1,"Australia",2,"F Michalak",15,"FH","won",0,"1","1",0,6,6,3
"538",3,"Spain",0,"Zimbabwe",3,"JM Carrion Llorens",15,"W","won",0,"2","3",0,6,9,0
"539",0,"Aust",1,"England",4,"BS Barnes",15,"FB","won",0,"1","1",0,0,12,3
"540",3,"Can",0,"Russia",3,"J Pritchard",15,"FB","won",0,"2","2",0,6,9,0
"541",0,"Scot",0,"Tonga",5,"GD Laidlaw",15,"FH","lost",0,"1","2",0,0,15,0
"542",3,"Ire",0,"Wales",3,"JJ Sexton",15,"FH","won",0,"1","1",0,6,9,0
"543",0,"Ire",0,"Italy",5,"DPLJ Jackson",15,"FH","lost",0,"1","1",0,0,15,0
"544",0,"JPN",0,"UAE",0,"T Kikutani",15,"N8","won",3,"2","3",15,0,0,0
"545",5,"JPN",0,"UAE",0,"H Tatekawa",15,"C","won",1,"2","3",5,10,0,0
"546",2,"Russ",0,"Romania",2,"Y Kushnarev",15,"FB","lost",1,"2","2",5,4,6,0
"547",3,"Rom",0,"Russia",3,"FA Vlaicu",15,"C","won",0,"2","2",0,6,9,0
"548",0,"Ire",0,"USA",5,"IL Madigan",15,"FH","won",0,"1","2",0,0,15,0
"549",3,"Namib",0,"Senegal",3,"TAW Kotze",15,"FH","won",0,"2","3",0,6,9,0
"550",3,"NZ",0,"France",3,"AW Cruden",15,"FH","won",0,"1","1",0,6,9,0
"551",0,"Ire",0,"Canada",0,"FL McFadden",15,"W","won",3,"1","2",15,0,0,0
"552",3,"Fiji",0,"USA",3,"S Baikeinuku",15,"C","won",0,"2","2",0,6,9,0
"553",3,"Scot",0,"Italy",3,"GD Laidlaw",15,"SH","won",0,"1","1",0,6,9,0
